ballot,name,party,votes
1,"ROBERTSON, Ryan",Liberal Party,4779
2,"BARTON, Matthew",Libertarian,230
3,"DAVIES, Rhi",The Greens (WA),2153
4,"BUCHANAN, Craig Robert",Legalise Cannabis Party WA,1036
5,"HAMILTON, Tim",Shooters Fishers and Farmers,136
6,"TREE, Georgia",WA Labor,6696
7,"HOWARD, Paul",Independent,116
8,"BURDETT, Robert",Australian Christians,470
9,"JENSEN, Neil",Animal Justice Party,505
10,"VAN LIESHOUT, Teresa",Independent,102
11,"GULLAN, Paul",Independent,60
12,"FELS, Anthony",WA First,184
13,"PALMER, Jayne",Independent,278
14,"HERDEGEN, Luke",One Nation,10863
15,"DUNNE, Peter D",Independent,57
16,"MURRELL, Brett",Independent,106
